IL	B-DNA	O	O
-	I-DNA	O	O
2	I-DNA	O	O
gene	I-DNA	O	O
expression	O	O	O
and	O	O	O
NF	B-protein	O	O
-	I-protein	O	O
kappa	I-protein	O	O
B	I-protein	O	O
activation	O	O	O
through	O	O	O
CD28	B-protein	O	O
requires	O	O	O
reactive	O	O	O
oxygen	O	O	O
production	O	O	O
by	O	O	O
5	B-protein	O	O
-	I-protein	O	O
lipoxygenase	I-protein	O	O
.	O	O	O

Activation	O	O	O
of	O	O	O
the	O	O	O
CD28	B-protein	B-protein	O
surface	O	I-protein	O
receptor	O	I-protein	O
provides	O	O	O
a	O	O	O
major	O	O	O
costimulatory	O	O	O
signal	O	O	O
for	O	O	O
T	O	O	O
cell	O	O	O
activation	O	O	O
resulting	O	O	O
in	O	O	O
enhanced	O	O	O
production	O	O	O
of	O	O	O
interleukin	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
(	O	O	O
IL	B-protein	O	O
-	I-protein	O	O
2	I-protein	O	O
)	O	O	O
and	O	O	O
cell	O	O	O
proliferation	O	O	O
.	O	O	O
